,b_id,b_category,b_value,b_issue_date,b_final_date,b_status,b_lat,b_long
22601,6511148,COMMERCIAL,1400000.0,2016-09-13,2017-09-08,Permit Closed,47.58762597,-122.3066973
22792,6330059,MULTIFAMILY,20118652.0,2013-05-01,2014-11-13,Permit Closed,47.65155384,-122.3443593
22818,6387901,COMMERCIAL,67424413.0,2015-09-16,2017-06-06,Permit Closed,47.6223157,-122.3419568
23107,6309251,MULTIFAMILY,2026988.0,2014-04-04,2017-01-19,Permit Closed,47.61727963,-122.303478
23187,6417082,INSTITUTIONAL,2234000.0,2015-12-23,2017-10-16,Permit Closed,47.6429976,-122.320869
23514,6361888,COMMERCIAL,124494740.0,2014-11-13,2017-09-27,Permit Closed,47.62107332,-122.335549
23552,6501703,COMMERCIAL,1644000.0,2016-06-03,2018-02-26,Permit Closed,47.61619705,-122.3178559
23766,6357952,MULTIFAMILY,1133740.0,2013-07-27,2014-04-22,Permit Closed,47.54365066,-122.367723
23831,6365080,COMMERCIAL,10940686.0,2013-10-02,2015-06-11,Permit Closed,47.58577803,-122.3218707
23949,6360716,INSTITUTIONAL,16563290.0,2014-03-07,2015-10-27,Permit Closed,47.65575639,-122.3166677
24223,6356939,COMMERCIAL,1500000.0,2014-07-29,2015-12-10,Permit Closed,47.62345613,-122.3340971
24239,6358207,MULTIFAMILY,1098353.0,2013-07-25,2014-08-25,Permit Closed,47.63686807,-122.32757340000002
24288,6443241,SINGLE FAMILY / DUPLEX,1032474.0,2016-03-18,2017-06-30,Permit Finaled,47.65417021,-122.373318
24362,6285190,COMMERCIAL,23355824.0,2013-11-26,2016-04-18,Permit Closed,47.62008761,-122.3479865
24448,6281378,COMMERCIAL,11750000.0,2013-09-11,2015-09-24,Permit Closed,47.67054426,-122.3880165
24461,6524262,MULTIFAMILY,1218348.0,2016-10-20,2017-10-04,Permit Finaled,47.59363323,-122.2963906
24551,6412991,MULTIFAMILY,1259785.0,2016-03-14,2017-11-02,Cert of Occupancy Authorized,47.69809112,-122.3492993
24562,6352578,COMMERCIAL,6739070.0,2015-07-20,2016-12-16,Permit Closed,47.62422755,-122.3571004
24650,6155458,COMMERCIAL,93492070.0,2015-02-02,2017-07-18,Permit Closed,47.61712077,-122.331524
24666,6387467,COMMERCIAL,114057844.0,2015-08-24,2018-02-15,Permit Closed,47.61709778,-122.3375332
24741,6353535,COMMERCIAL,26621027.0,2014-02-24,2015-06-01,Permit Closed,47.61665268,-122.3326278
25044,6153914,MULTIFAMILY,12859426.0,2013-06-03,2014-11-20,Permit Closed,47.55680616,-122.3864579
25049,6284918,COMMERCIAL,65935756.0,2014-02-24,2015-08-07,Permit Closed,47.62264265,-122.33941029999998
25167,6499091,MULTIFAMILY,1318740.0,2016-11-15,2017-11-15,Permit Closed,47.53942119,-122.3714939
25579,6439675,COMMERCIAL,7000000.0,2015-06-30,2017-05-04,Permit Closed,47.6223157,-122.3419568
25597,6398415,INSTITUTIONAL,14000000.0,2015-03-09,2017-01-25,Permit Closed,47.50970617,-122.3776024
25602,6383857,MULTIFAMILY,10666169.0,2015-01-07,2017-03-23,Permit Closed,47.64827306,-122.3357527
25944,6379894,MULTIFAMILY,1100891.0,2014-09-02,2015-11-06,Permit Closed,47.67181283,-122.3845165
26045,6353526,COMMERCIAL,2069779.0,2014-06-27,2016-03-15,Permit Closed,47.61070574,-122.3413759
26104,6451574,MULTIFAMILY,1100000.0,2015-07-25,2016-09-19,Permit Closed,47.66196595,-122.3041538
26151,6368063,MULTIFAMILY,1626014.0,2014-04-08,2015-09-21,Permit Closed,47.6711164,-122.3885174
26427,6321396,COMMERCIAL,28213447.0,2013-09-13,2015-11-18,Permit Closed,47.5608203,-122.3859015
26673,6313996,MULTIFAMILY,29093278.0,2015-06-03,2017-05-31,Permit Closed,47.65646419,-122.3181508
26685,6339621,COMMERCIAL,6663300.0,2013-06-19,2015-04-30,Permit Closed,47.56173976,-122.2672787
26773,6390051,COMMERCIAL,1485648.0,2015-07-09,2017-02-09,Permit Closed,47.58620761,-122.3019312
26785,6420528,MULTIFAMILY,17322123.0,2015-09-23,2017-07-18,Cert of Occupancy Authorized,47.66998377,-122.3825021
26805,6304715,COMMERCIAL,1141131.0,2013-05-07,2014-07-08,Permit Closed,47.61805139,-122.3104763
27069,6295045,COMMERCIAL,12567914.0,2013-04-29,2014-09-25,Permit Closed,47.66414599,-122.3166552
27190,6477308,MULTIFAMILY,1255202.0,2016-05-24,2017-10-05,Permit Closed,47.66570781,-122.2803019
27217,6355138,INDUSTRIAL,1138448.0,2013-11-21,2014-08-25,Permit Closed,47.66418156,-122.3701391
27482,6365990,MULTIFAMILY,5968100.0,2014-06-20,2015-12-18,Permit Closed,47.63892905,-122.3758351
27557,6371235,COMMERCIAL,26191661.0,2014-04-29,2015-10-05,Permit Closed,47.67607614,-122.3184738
27931,6391699,MULTIFAMILY,1245000.0,2014-08-28,2016-05-09,Permit Closed,47.67744717,-122.3198944
27975,6359768,INSTITUTIONAL,7648892.0,2014-03-07,2015-10-27,Permit Closed,47.65577125,-122.3170365
28202,6337450,MULTIFAMILY,1174298.0,2013-06-04,2014-07-01,Permit Closed,47.66476705,-122.2839396
28342,6412958,MULTIFAMILY,1019225.0,2015-02-09,2016-11-14,Permit Closed,47.66222901,-122.3061952
28751,6471782,MULTIFAMILY,1167660.0,2015-12-16,2016-10-14,Permit Finaled,47.55189388,-122.3819111
28904,6345134,COMMERCIAL,10867590.0,2013-07-24,2014-09-29,Permit Closed,47.62001578,-122.3419767
28948,6398636,SINGLE FAMILY / DUPLEX,1243825.0,2014-08-20,2015-06-24,Permit Closed,47.66392536,-122.3062412
29012,6289114,COMMERCIAL,57272930.0,2013-04-24,2014-10-14,Permit Closed,47.62384112,-122.3394213
29267,6317587,MULTIFAMILY,2500381.0,2014-02-26,2016-03-31,Permit Closed,47.65673138,-122.3201138
29475,6418212,MULTIFAMILY,16145095.0,2014-11-21,2016-06-30,Cert of Occupancy Authorized,47.64626509,-122.3603139
29605,6286988,MULTIFAMILY,6337696.0,2013-06-21,2015-01-07,Permit Closed,47.59718925,-122.3189599
29626,6455573,MULTIFAMILY,1378399.0,2016-11-21,2018-03-12,Permit Closed,47.69172722,-122.3426662
